,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
448,0.924738065,0.929043521,0.931769462,0.932952204,0.050670101,0.014814548,-0.031003877,0.006562528,-0.196387624,0.018880051,-0.349988433,0.026553977,0.081177635,0.023340497,0.014219258,0.013927619,-0.205990423,0.026708552,-0.371832468,0.027457464,0.089646047,0.021266515,0.027396293,0.006595382,-0.149682144,0.027288983,-0.336695944,0.006220064
449,0.925742073,0.930097736,0.932784783,0.933929429,0.043822378,0.009380986,-0.033236329,0.005527778,-0.201788795,0.014591631,-0.3693128,0.052382688,0.078646552,0.024118077,0.008318397,0.006808078,-0.204305554,0.030013849,-0.385816585,0.028223148,0.088386374,0.020917493,0.018811495,0.012237192,-0.154653059,0.029617506,-0.334133351,0.02835215
450,0.926717963,0.931059199,0.933763034,0.934974607,0.047677407,0.010750671,-0.038032922,0.008005388,-0.202114871,0.018197455,-0.347141594,0.025508249,0.079230911,0.023633045,0.005716733,0.007191224,-0.216794301,0.048253631,-0.39177523,0.030597038,0.087394231,0.017714005,0.019787265,0.015727006,-0.146323633,0.01406109,-0.3573152,0.007709039
451,0.927695003,0.932106224,0.93480716,0.935998572,0.040774528,0.011605658,-0.041089628,0.010134382,-0.217531208,0.007241633,-0.367528015,0.019872825,0.077220583,0.021075106,0.002134941,0.007424277,-0.216421208,0.044910236,-0.393944791,0.022519019,0.081704372,0.024356381,0.016562127,0.016910339,-0.161387718,0.005465487,-0.35229839,0.022269585
452,0.92868283,0.933097602,0.935796844,0.936950448,0.040340079,0.006146855,-0.049519188,0.011106859,-0.219386608,0.013888894,-0.381625157,0.053351917,0.072628202,0.025174677,0.001840988,0.007607945,-0.224213447,0.034412446,-0.391917818,0.032809773,0.088323448,0.014608598,0.01486549,0.011265696,-0.160833238,0.022217676,-0.343957482,0.021400707
453,0.929700056,0.934076321,0.936800953,0.937941487,0.041494159,0.012445708,-0.049816405,0.005260622,-0.231653396,0.006441288,-0.367938043,0.04058969,0.073975262,0.022116496,-0.003092249,0.008086473,-0.22395753,0.045404197,-0.415283023,0.031341658,0.080483976,0.021014932,0.011513939,0.013797118,-0.164745399,0.018266517,-0.370057961,0.012668084
454,0.93063704,0.935107204,0.937822823,0.938929364,0.03641609,0.00941292,-0.058201169,0.007932586,-0.2259779,0.009264823,-0.387423277,0.040738164,0.074156065,0.029849343,-0.004454045,0.00721567,-0.254639906,0.033944377,-0.413984557,0.022117862,0.084936641,0.021437988,0.010266907,0.016005842,-0.185767787,0.032118557,-0.361110407,0.026873111
455,0.931647914,0.936060573,0.938874,0.939963865,0.035619266,0.012754679,-0.059457333,0.017346454,-0.227641549,0.018215149,-0.384661235,0.03307155,0.070879981,0.027595673,-0.005955537,0.008424723,-0.242876264,0.039463046,-0.403117142,0.016226879,0.082350808,0.021154121,0.008854255,0.014455699,-0.176039526,0.020066264,-0.359204243,0.030176939
456,0.932655638,0.937097537,0.939843064,0.940984853,0.035808163,0.006762759,-0.057849739,0.008229792,-0.250407094,0.007984733,-0.392063827,0.031280384,0.068978508,0.019676721,-0.010805863,0.008607682,-0.236905779,0.040896383,-0.412127787,0.023820495,0.077326729,0.017271118,0.004040079,0.015981774,-0.184198983,0.007691452,-0.364459819,0.023182206
457,0.933613006,0.938094114,0.9408338,0.941986564,0.033461519,0.009487302,-0.057585025,0.009181966,-0.240951644,0.022359666,-0.407118146,0.029121583,0.073776601,0.025360206,-0.012451964,0.00685311,-0.256665493,0.035231551,-0.408275093,0.012827703,0.084735069,0.016518852,0.005726043,0.01716344,-0.190361502,0.022992857,-0.371562829,0.0301746
458,0.934619367,0.939137988,0.941909195,0.943008284,0.028119054,0.011989567,-0.060149046,0.008350068,-0.246832367,0.014184729,-0.391289295,0.04100124,0.068574158,0.023051213,-0.015277701,0.007607045,-0.269238653,0.053353448,-0.427689099,0.018284999,0.07747442,0.019828367,0.00480285,0.025181104,-0.192900259,0.019047209,-0.385347539,0.029656832
459,0.93565514,0.940173258,0.942908571,0.943999261,0.028043952,0.008638441,-0.072914103,0.017451134,-0.257807247,0.002557451,-0.407577322,0.038818132,0.069309965,0.026011534,-0.019696031,0.009772679,-0.27392836,0.039143138,-0.431962137,0.041913427,0.082392401,0.019748421,-0.002210687,0.015275306,-0.2135807,0.020868117,-0.367388216,0.02438049
460,0.936632939,0.941158199,0.943893343,0.94498595,0.025187361,0.010088882,-0.069530241,0.008094084,-0.257251152,0.020284298,-0.4133627,0.045180429,0.06247192,0.024314251,-0.023077122,0.012973523,-0.262801265,0.044113245,-0.426543024,0.028450075,0.074647879,0.017106176,-0.000671973,0.020804497,-0.192880591,0.018016428,-0.37115914,0.02001966
461,0.93759121,0.942194829,0.944945729,0.946001317,0.021804813,0.009450469,-0.074587468,0.010195669,-0.260357901,0.010661893,-0.411789753,0.0396849,0.066739579,0.021403687,-0.02457697,0.01115197,-0.280305883,0.051327089,-0.434323052,0.009743442,0.074007064,0.016139745,-0.006064989,0.019674232,-0.216488738,0.004407042,-0.392878091,0.04316517
