,Ewe_a_100,Ewe_a_10,Ewe_a_1,Ewe_a_pt1,alpha100_1000mean,alpha100_1000stddev,alpha10_1000mean,alpha10_1000stddev,alpha1_1000mean,alpha1_1000stddev,alphapt1_1000mean,alphapt1_1000stddev,alpha100_500mean,alpha100_500stddev,alpha10_500mean,alpha10_500stddev,alpha1_500mean,alpha1_500stddev,alphapt1_500mean,alphapt1_500stddev,alpha100_250mean,alpha100_250stddev,alpha10_250mean,alpha10_250stddev,alpha1_250mean,alpha1_250stddev,alphapt1_250mean,alphapt1_250stddev
62,0.55619522,0.556259775,0.556306125,0.55627227,0.27420473,0.013936666,0.316555426,0.032793574,,0.559818672,0.386312737,0.031515863,0.29656053,0.065543634,0.346006596,0.069620588,0.423562793,0.062325703,0.548981392,0.082655252,0.31503585,0.046897303,0.841736358,0.772483718,0.3966872,0.084300617,0.556911616,0.107864607
63,0.55723612,0.557255138,0.557244105,0.557237975,0.265462271,0.029958046,0.32154014,0.016125481,,0.300614499,0.432458419,0.018439404,0.292808396,0.049572272,0.370447173,0.053290704,0.426307864,0.082609897,0.61552384,0.11960208,0.312976804,0.032164019,,0.05925229,0.434585504,0.079151701,0.581615166,0.168353016
64,0.558228139,0.558209066,0.558221404,0.558304416,0.271334969,0.013974408,0.324420002,0.020932864,,0.052500109,0.416623322,0.111421296,0.288701781,0.059687629,0.338777553,0.047624754,0.387635298,0.048362656,0.486430956,0.085196827,0.318189353,0.033363152,0.34921905,0.039952687,0.369210047,0.049651661,0.528065383,0.127133067
65,0.559259347,0.559239527,0.559212596,0.559269077,0.270268781,0.020804238,0.310400581,0.030717741,0.33861006,0.018483339,0.366673824,0.08166602,0.29891198,0.060200159,0.354394866,0.066346145,0.421791226,0.054512916,0.547510979,0.043854374,0.322874469,0.040925689,0.37458893,0.049046983,0.419632532,0.055250564,0.523541033,0.053716583
66,0.560280897,0.560203105,0.56023652,0.560270806,0.268992307,0.029856583,0.324274075,0.013917933,0.348981036,0.0379588,0.411039855,0.017707604,0.29549769,0.058674886,0.359335978,0.066714096,0.409923779,0.10454528,0.557351942,0.15602961,0.30571197,0.047885692,0.368258793,0.060114175,0.389260617,0.116906387,0.53053736,0.192310505
67,0.561244043,0.561222825,0.561243744,0.56125576,0.271149835,0.018599442,0.313683367,0.014740834,0.356892351,0.049484382,0.41664074,0.062183386,0.291674007,0.057060092,0.361382157,0.062173797,0.398108418,0.046038863,0.512060431,0.034433598,0.320649787,0.032451437,0.378842506,0.048856392,0.384661574,0.037175952,0.538943771,0.085926433
68,0.562224334,0.562194777,0.562239316,0.562254465,0.275507448,0.018015384,0.321573703,0.016273048,0.355142359,0.029635587,0.387517304,0.01979744,0.304104315,0.069809179,0.3649906,0.076115923,0.41433496,0.059220544,0.526266586,0.061618853,0.325400943,0.046309792,0.376431476,0.0658736,0.396988038,0.089455244,0.527813341,0.141111981
69,0.563238581,0.56325055,0.563232704,0.563244732,0.27002897,0.013567714,0.317214034,0.035469637,0.355621637,0.04500958,0.371164595,0.047268067,0.293980557,0.0604725,0.349911824,0.061999049,0.401935894,0.050155654,0.54144043,0.140786395,0.321654002,0.034763802,0.368397091,0.041289578,0.385990571,0.066017291,0.581245821,0.175564686
70,0.56423485,0.564267109,0.564260954,0.564242486,0.280559821,0.017307232,0.321458782,0.020295139,0.360829123,0.018739929,0.427137406,0.061804058,0.293737206,0.052539782,0.368789119,0.063301602,0.414196107,0.064963082,0.454742,0.038722238,0.308981231,0.039336984,0.380842497,0.052077874,0.407315113,0.069791416,0.472464717,0.045626108
71,0.565237319,0.565204208,0.565224497,0.565305861,0.274120535,0.022101717,0.319348412,0.008691671,0.337233378,0.045092262,0.36049541,0.053250937,0.296543153,0.077649997,0.353110844,0.041094547,0.415729943,0.050617362,0.542377775,0.038099494,0.321250918,0.054662443,0.3734476,0.034331567,0.392342934,0.068514172,0.499272589,0.118747906
72,0.566284225,0.566262062,0.56626649,0.566280044,0.260801908,0.016033431,0.308885524,0.037355066,0.35224962,0.033044438,0.367086822,0.077344612,0.302696201,0.04044984,0.345117051,0.067484602,0.380819098,0.058373911,0.518726615,0.067275812,0.313437747,0.030287619,0.361530737,0.055015986,0.38637836,0.05320204,0.536648507,0.108034387
73,0.567196602,0.567209701,0.567251393,0.567270338,0.283103988,0.017689403,0.32646079,0.00744216,0.341574842,0.026639707,0.39655657,0.041889055,0.296729905,0.052373853,0.340478392,0.051085689,0.400992493,0.060169902,0.507276484,0.085496517,0.319396832,0.0320675,0.352672695,0.040045816,0.382189705,0.064539014,0.489839897,0.109973385
74,0.568267897,0.568226066,0.568234203,0.568278695,0.272588413,0.025874828,0.309473441,0.012611168,0.332706162,0.035480447,0.416816398,0.076280068,0.295651084,0.065843882,0.360839158,0.068396901,0.423622358,0.058472712,0.474062583,0.077039596,0.321380754,0.045480875,0.374814346,0.05646951,0.403255737,0.084254106,0.496820478,0.088819289
75,0.569258691,0.56930504,0.569285985,0.569354889,0.268462113,0.013975307,0.315320749,0.04626082,0.361558523,0.034978287,0.349951109,0.056178001,0.293870424,0.057970936,0.355713155,0.06129327,0.360599044,0.053584647,0.509481985,0.078117244,0.320867111,0.033732935,0.371492198,0.047018044,0.387153425,0.033387682,0.49156884,0.132413137
76,0.570220817,0.570260015,0.570250603,0.570282517,0.28176079,0.013690315,0.314794746,0.008969095,0.357606082,0.028941939,0.39293442,0.045905229,0.294239099,0.051828028,0.345985025,0.046531374,0.412648233,0.058631442,0.481547139,0.063499633,0.321736761,0.028554614,0.353112713,0.03967599,0.373515934,0.086666294,0.491375768,0.072249663
77,0.571260445,0.571215087,0.571220558,0.571239765,0.268444515,0.025236585,0.327972335,0.004164949,0.356174209,0.049633983,0.353023784,0.051417905,0.306709658,0.072686998,0.357920875,0.05127857,0.389284217,0.056458676,0.490340125,0.088690512,0.321857009,0.05682237,0.368716064,0.041808809,0.387248957,0.062701659,0.517354472,0.106703306
78,0.572230212,0.5722253,0.572254265,0.57227553,0.280390609,0.013918758,0.309315529,0.022901817,0.334387096,0.014017941,0.351468094,0.036098737,0.307733234,0.068034163,0.338326145,0.0555227,0.420336258,0.03270043,0.472281313,0.011167718,0.326842938,0.052011767,0.362713284,0.03433985,0.405313708,0.045763605,0.439805549,0.044002992
79,0.57320517,0.573155936,0.573227468,0.573226467,0.272015974,0.014733125,0.316152806,0.028610811,0.344995285,0.041835528,0.399844498,0.016682963,0.298096867,0.052594266,0.363454008,0.056046121,0.386476373,0.056264196,0.444674495,0.118814604,0.318266606,0.036839892,0.36338024,0.052542179,0.370377439,0.076430708,0.512560784,0.107464847
